title,price,rating,reviews,availability
"[2023 Upgraded] Full Size Digital Piano Keyboard, 88 Key Folding Piano with Bluetooth MIDI, Semi-Weighted Portable Piano Keyboards, Wood Grained Electric Piano for Beginners, Kids, Adults By COSSAIN",,4.1 out of 5 stars,37 ratings,Not Available
"MAMIZO 61 Key Keyboard Piano, Electric Piano Keyboard for Beginners with X-Stand, Stool, Microphone, Dual Power Supply, 3 Teaching Modes, LCD, Supports USB MIDI, Christmas Gifts for Children",$79.99,4.8 out of 5 stars,11 ratings,Not Available
"Starfavor 61 Key Electronic Keyboard Piano with LCD Display, Portable Electric Music Piano for Beginners Professions, include Z-style Stand, Bench, Microphone, Headphone, Keynote Stickers (SEK-561)",$169.99,4.2 out of 5 stars,551 ratings,200+ bought in past month
"The ONE Smart Keyboard COLOR 61 Lighted Keys Piano Keyboard, MIDI Electric Piano for Beginners with 256 Tones, 64 Polyphony, Built-in LED Lights and Free Apps (Green)",$179.99 with 10 percent savings,4.5 out of 5 stars,156 ratings,100+ bought in past month
Roland GO:KEYS 61-key Music Creation Piano Keyboard with Integrated Bluetooth Speakers (GO-61K),$349.99,4.5 out of 5 stars,"1,146 ratings",100+ bought in past month
Hamzer 61-Key Digital Music Piano Keyboard - Portable Electronic Musical Instrument - with Microphone and Sticker Sheet,$74.99,4.4 out of 5 stars,"1,911 ratings",100+ bought in past month
"Lexington 88 Keys Weighted Digital Piano, Full Size Portable Hammer Action Electric Keyboard Piano for Beginners w/Furniture Stand, Power Adapter, Triple Pedals, Headphone Jack and Recording, Black",$377.59,4.5 out of 5 stars,127 ratings,Not Available
"Hamzer 61-Key Electronic Keyboard Portable Digital Music Piano with Lighted Keys, Microphone & Sticker Set",$81.99,4.5 out of 5 stars,385 ratings,Not Available
"61 Key Digital Music Piano Keyboard for Kids,Portable Electronic Musical Instrument,Multi-function Keyboard with Microphone Gifts for Boys and Girls",$32.96,3.8 out of 5 stars,246 ratings,100+ bought in past month
"Keyboard Piano 61 Key Electric Piano Keyboard for Beginners/Professional, Portable Light Up Music Keyboard Built-in Dual Speakers with LED Display, Music Stand, Stand, Microphone, Bench (A)",$106.99,4.3 out of 5 stars,33 ratings,100+ bought in past month
"[2023 New]FingerBallet 88 Key Folding Piano Keyboard,Full Size Semi-Weighted Portable Digital Piano,Foldable keyboard Built-in Bluetooth & MIDI for Adult, Toddlers, Kids",$209.99,4.7 out of 5 stars,19 ratings,Not Available
"GLARRY 61-Key Portable Electronic Keyboard Piano set w/LCD Screen, Stand, Microphone, Headphones, Stand, Bench, Teaching Modes, Built-In Speakers",,4.6 out of 5 stars,149 ratings,Not Available
